Country,iso3c,Year,extraction_5.4
Tunisia,TUN,2021,68983883.88627481
Tunisia,TUN,2022,70205687.46862793
Tunisia,TUN,2023,71427491.05098104
Tunisia,TUN,2024,72649294.63333368
Tunisia,TUN,2025,73871098.2156868
Tunisia,TUN,2026,75092901.79803944
Tunisia,TUN,2027,76314705.38039255
Tunisia,TUN,2028,77536508.96274567
Tunisia,TUN,2029,78758312.5450983
Tunisia,TUN,2030,79980116.12745142
Tunisia,TUN,2031,81201919.70980453
Tunisia,TUN,2032,82423723.29215717
Tunisia,TUN,2033,83645526.87451029
Tunisia,TUN,2034,84867330.45686293
Tunisia,TUN,2035,86089134.03921604
Tunisia,TUN,2036,87310937.62156916
Tunisia,TUN,2037,88532741.2039218
Tunisia,TUN,2038,89754544.78627491
Tunisia,TUN,2039,90976348.36862755
Tunisia,TUN,2040,92198151.95098066
Tunisia,TUN,2041,93419955.53333378
Tunisia,TUN,2042,94641759.11568642
Tunisia,TUN,2043,95863562.69803953
Tunisia,TUN,2044,97085366.28039265
Tunisia,TUN,2045,98307169.86274529
Tunisia,TUN,2046,99528973.4450984
Tunisia,TUN,2047,100750777.02745104
Tunisia,TUN,2048,101972580.60980415
